 Label: , Distance: 2915429368.067653, Scale: 291542.9368067653
 Label: , Distance: 4469141837.52462, Scale: 446914.18375246204
 Label: , Distance: 17445958.723468315, Scale: 1744.5958723468316
 Label: , Distance: 161261769.22104174, Scale: 16126.176922104174
 Label: , Distance: 221428112.70045802, Scale: 22142.811270045804
 Label: , Distance: 254880603.21751118, Scale: 25488.06032175112
 Label: , Distance: 377658695.4186992, Scale: 37765.86954186992
 Label: , Distance: 917354452.8886497, Scale: 91735.44528886497
 Label: , Distance: 1536242088.161762, Scale: 153624.2088161762
 Label: , Distance: 2915429371.225319, Scale: 291542.93712253193
 Label: , Distance: 4469141840.620611, Scale: 446914.18406206113
 Label: , Distance: 17445958.723468315, Scale: 1744.5958723468316
 Label: , Distance: 161261773.23412874, Scale: 16126.177323412876
 Label: , Distance: 221428113.91731805, Scale: 22142.811391731804
 Label: , Distance: 254880603.47464007, Scale: 25488.06034746401
 Label: , Distance: 377658695.6655192, Scale: 37765.86956655192
 Label: , Distance: 917354452.1609111, Scale: 91735.44521609112
 Label: , Distance: 1536242090.6039023, Scale: 153624.20906039025
 Label: , Distance: 2915429374.382985, Scale: 291542.93743829854
 Label: , Distance: 4469141843.716601, Scale: 446914.1843716602
 Label: , Distance: 17445958.72346832, Scale: 1744.595872346832
 Label: , Distance: 161261777.30537638, Scale: 16126.177730537638
 Label: , Distance: 221428115.15181378, Scale: 22142.81151518138
 Label: , Distance: 254880603.73549548, Scale: 25488.06037354955
 Label: , Distance: 377658695.91591614, Scale: 37765.86959159162
 Label: , Distance: 917354451.4226255, Scale: 91735.44514226256
 Label: , Distance: 1536242093.0814357, Scale: 153624.2093081436
 Label: , Distance: 2915429377.5864143, Scale: 291542.93775864143
 Label: , Distance: 4469141846.857462, Scale: 446914.1846857462
 Label: , Distance: 17445958.723468315, Scale: 1744.5958723468316
 Label: , Distance: 161261781.31846327, Scale: 16126.178131846327
 Label: , Distance: 221428116.3686738, Scale: 22142.81163686738
 Label: , Distance: 254880603.99262437, Scale: 25488.06039926244
 Label: , Distance: 377658696.16273606, Scale: 37765.86961627361
 Label: , Distance: 917354450.6948869, Scale: 91735.44506948869
 Label: , Distance: 1536242095.5235755, Scale: 153624.20955235756
 Label: , Distance: 2915429380.744081, Scale: 291542.9380744081
 Label: , Distance: 4469141849.953452, Scale: 446914.18499534525
 Label: , Distance: 17445958.723468315, Scale: 1744.5958723468316
 Label: , Distance: 161261785.38971075, Scale: 16126.178538971077
 Label: , Distance: 221428117.6031695, Scale: 22142.811760316952
 Label: , Distance: 254880604.2534798, Scale: 25488.060425347983
 Label: , Distance: 377658696.41313314, Scale: 37765.869641313315
 Label: , Distance: 917354449.956601, Scale: 91735.4449956601
 Label: , Distance: 1536242098.0011086, Scale: 153624.20980011087
 Label: , Distance: 2915429383.9475107, Scale: 291542.9383947511
 Label: , Distance: 4469141853.094313, Scale: 446914.1853094313
 Label: , Distance: 17445958.723468315, Scale: 1744.5958723468316
 Label: , Distance: 161261789.40279746, Scale: 16126.178940279748
 Label: , Distance: 221428118.8200295, Scale: 22142.811882002952
 Label: , Distance: 254880604.5106087, Scale: 25488.060451060872
 Label: , Distance: 377658696.659953, Scale: 37765.8696659953
 Label: , Distance: 917354449.2288623, Scale: 91735.44492288624
 Label: , Distance: 1536242100.4432485, Scale: 153624.21004432486
